TESTNAME,SUBTESTNAME,SUBSUBTESTNAME,DESCRIPTION,FUNCTION,PARAM1,PARAM2,LOW,HIGH,UNIT,TIMEOUT,KEY,VAL,FAIL_COUNT,DIMENSION
Fixture,Info,ResetALL,,common.reset,,,,,,5000,,,,
Fixture,Info,SN,,common.get_scan_sn,[[scanned_sn]],,,,,5000,,,,
Fixture,Info,CoboreFWVersion,,common.fw_version,,,,,,5000,,,,
Fixture,Info,Station_ID,,common.station_name,"D61_BTE_DFU-FCT",,,,,5000,,,,
Fixture,Info,Slot_ID,,common.slot_id,,{{slot_id}},,,,5000,,,,
Fixture,Info,Vendor_ID,,common.vendor_id,,,,,,5000,,,,
Fixture,Info,Fixture_ID,,common.fixture_id,,,,,,5000,,,,
Power,On,Relay_Connect_DUT_TP32_BAT_NTC_PULLDOWN_10K,,common.relay,DUT_TP32_BAT_NTC_PULLDOWN_10K,,,,,5000,,,,
Power,On,Relay_Connect_ODIN_BATT_TO_DUT_TP30_V_BAT,,common.relay,ODIN_BATT_TO_DUT_TP30_V_BAT,,,,,5000,,,,
Power,On,Battery_Output_3V7_500mA,,common.battery_output,500,3700,,,,5000,,,,
Power,On,Delay_1s,,common.delay,1000,,,,,50000,,,,
Power,On,Battery_voltage_3P7V,,common.battery_measure,volt,5000mv,3650,3750,mV,5000,,,,
Power,On,BatteryCurrent,,common.battery_measure,curr,50ma,,,mA,5000,,,,
Restore,N32L403KB_DL,Relay_Connect_LDO_PP3V0_EN,,common.relay,LDO_PP3V0_EN,,,,,5000,,,,
Restore,N32L403KB_DL,Relay_Connect_JLINK_TO_DUT,,common.relay,JLINK_TO_DUT,,,,,5000,,,,
Restore,N32L403KB_DL,Delay_500MS,,common.delay,500,,,,,50000,,,,
Restore,N32L403KB_DL,FWDL_N32L403KB,,common.restore_swd,N32L403KB,,,,,650000,,,,
Restore_Check,N32L403KB_DL,Open_Uart,,common.open_uart,,,,,,5000,,,,
Restore_Check,N32L403KB_DL,POWER_CYCLE,,common.power_cycle,,,,,,5000,,,,
DUT_INFO,N32L403KB_DL,DETECT_MSH,,dut.detect_msh_mode,,,,,,35000,,,,
DUT_INFO,N32L403KB_DL,WRITE_SN,,dut.write_bsn,[[scanned_sn]],,,,,15000,,,,
DUT_INFO,N32L403KB_DL,READ_SN,,dut.read_bsn,,,,,,15000,,,,
DUT_INFO,N32L403KB_DL,WORK_MODE,,dut.send_read,"xxxxxx","msh >",,,,15000,,,,
DUT_INFO,N32L403KB_DL,DELAY_AFTER_WOEK_MODE,,common.delay,1000,,,,,15000,,,,
DUT_INFO,N32L403KB_DL,BatteryCurrent,,common.battery_measure,curr,50ma,,,mA,5000,,,,
LED_RGB,LED_RGB_ON,LED_RGB_OPEN,,dut.led_control,"rgb","open",,,,15000,,,,
LED_RGB,LED_RGB_ON,BAT_CURR,,common.battery_measure,curr,500ma,,,mA,5000,,,,
LED_RGB,LED_RGB_OFF,LED_RGB_CLOSE,,dut.led_control,"rgb","close",,,,15000,,,,
CHARGING,CHARGING_MODE,Connect_ODIN_VCHG_TO_DUT_TP24_VBUS,,common.relay,ODIN_VCHG_TO_DUT_TP24_VBUS,,,,,5000,,,,
CHARGING,CHARGING_MODE,OUTPUT_5000MV,,common.charge_output,500,5000,,,,5000,,,,
CHARGING,CHARGING_MODE,Delay_1000MS,,common.delay,1000,,,,,50000,,,,
CHARGING,CHARGING_MODE,BAT_CURR,,common.battery_measure,curr,500ma,,,mA,5000,,,,
CHARGING,CHARGING_MODE,CW2215_Get_Current,,dut.diags_parse,CW2215_Get_Current,,,,,15000,,,,
CHARGING,CHARGING_MODE,DISABLE_CHARGING,,common.charge_output,0,0,,,,5000,,,,
CHARGING,CHARGING_MODE,DisConnect_ODIN_VCHG_TO_DUT_TP24_VBUS,,common.relay,ODIN_VCHG_TO_DUT_TP24_VBUS,DISCONNECT,,,,5000,,,,
DUT_INFO,DUT_INFO,Delay_1000MS_1,,common.delay,1000,,,,,50000,,,,
DUT_INFO,DUT_INFO,BatteryCurrent_2,,common.battery_measure,curr,50ma,,,mA,5000,,,,
DUT_INFO,DUT_INFO,SWVER,,dut.diags_parse,read_swver,,,,,15000,,,,
DUT_INFO,DUT_INFO,HWVER,,dut.diags_parse,read_boardid,,,,,15000,,,,
DUT_INFO,DUT_INFO,Charge_SY8809,,dut.send_read,read_sy8809_chipmode,success,,,,15000,,,,
DUT_INFO,DUT_INFO,LED_DRIVER,,dut.diags_parse,aw21009_check_chip_id,,,,,15000,,,,
DUT_INFO,DUT_INFO,FUEL_GAUGE,,dut.diags_parse,CW2215_Check_Chip_Id,,,,,15000,,,,
DUT_INFO,DUT_INFO,CW2215_Get_Temperature,,dut.diags_parse,CW2215_Get_Temperature,,,,,15000,,,,
DUT_INFO,DUT_INFO,enable_aw21009,,dut.send_read,enable_aw21009,success,,,,15000,,,,
VOLTAGE,DMM,Delay_500MS_1,,common.delay,500,,,,,50000,,,,
VOLTAGE,DMM,VOLT_TP44_VLED,,common.dmm_measure_voltage,DMM_TO_DUT_TP44_VLED,,,,,5000,,,,
VOLTAGE,DMM,enable_aw39112,,dut.send_read,enable_aw39112,success,,,,15000,,,,
VOLTAGE,DMM,Delay_500MS_2,,common.delay,500,,,,,50000,,,,
VOLTAGE,DMM,VOLT_TP43_VDD_1V7,,common.dmm_measure_voltage,DMM_TO_DUT_TP43_VDD_1V7,,,,,5000,,,,
VOLTAGE,DMM,charge_hear_aid_on_l,,dut.send_read,charge_hear_aid on l,output on,,,,15000,,,,
VOLTAGE,DMM,Delay_500MS_3,,common.delay,500,,,,,50000,,,,
VOLTAGE,DMM,VOLT_TP29_POGO_5V_L,,common.dmm_measure_voltage,DMM_TO_DUT_TP29_POGO_5V_L,,,,,5000,,,,
VOLTAGE,DMM,charge_hear_aid_on_r,,dut.send_read,charge_hear_aid on r,output on,,,,15000,,,,
VOLTAGE,DMM,Delay_500MS_4,,common.delay,500,,,,,50000,,,,
VOLTAGE,DMM,VOLT_TP28_POGO_5V_R,,common.dmm_measure_voltage,DMM_TO_DUT_TP28_POGO_5V_R,,,,,5000,,,,
VOLTAGE,DMM,Battery_voltage_CAL,,common.battery_measure,volt,5000mv,,,,5000,,,,
VOLTAGE,DUT,CW2215_Get_Vol,,dut.diags_parse,CW2215_Get_Vol,,,,,15000,,,,
COMMUNICATION,L_TEST,POWER_CYCLE,,common.power_cycle,,,,,,5000,,,,
COMMUNICATION,L_TEST,DETECT_MSH,,dut.detect_msh_mode,,,,,,35000,,,,
COMMUNICATION,L_TEST,COREBOARD_UART_ONE_WIRE,,common.switch_mode,TRUE,,,,,10000,,,,
COMMUNICATION,L_TEST,Connect_UART_CORE_BOARD_TO_DUT_L,,common.relay,UART_CORE_BOARD_TO_DUT_TP53_HI_DATA_L_ONEWIRE_PP1V7,,,,,5000,,,,
COMMUNICATION,L_TEST,L_loop_back_test,,dut.uart_slave_diags,L_loop_back_test@success,,,,,30000,,,,
COMMUNICATION,R_TEST,Connect_UART_CORE_BOARD_TO_DUT_R,,common.relay,UART_CORE_BOARD_TO_DUT_TP54_HI_DATA_R_ONEWIRE_PP1V7,,,,,5000,,,,
COMMUNICATION,R_TEST,R_loop_back_test,,dut.uart_slave_diags,R_loop_back_test@success,,,,,30000,,,,
BUTTON,TEST,Connect_PULL_DOWN_DUT_TP45_BUTTON,,common.relay,PULL_DOWN_DUT_TP45_BUTTON,,,,,5000,,,,
BUTTON,TEST,Delay_3000MS_AFTER_PULL_DOWN,,common.delay,3000,,,,,50000,,,,
BUTTON,TEST,DISConnect_PULL_DOWN_DUT_TP45_BUTTON,,common.relay,PULL_DOWN_DUT_TP45_BUTTON,DISCONNECT,,,,5000,,,,
BUTTON,TEST,READ_KEY_3S_PRESSED_EVT,,dut.read_until,CHARGER_CASE_LID_EVT_CLOSED_EVT,,,,,10000,,,,
BUTTON,TEST,detect_msh_mode,,dut.detect_msh_mode,,,,,,30000,,,,
OVP,VBUS,Battery_Power_Off,,common.battery_power_off,,,,,,60000,,,,
