Disable,Group,SubTestName,SubSubTestName,Function,Input,Output,Timeout,Policy,LowerLimit,UpperLimit,Units,Condition,StopOnFail,Notes
,Fixture,Info,@Scan_PCBA_SN,common.get_scan_sn,[[scanned_sn]],,5000,,,,,,,
,Fixture,Info,@Station_ID,common.station_id,,,5000,,,,,,,
,Fixture,RUN_BMT,@GET_BMT_VERSION,common.run_bmt_cmd,"{'cmd_key':'GET_VERSION', 'parse_pattern':'BoseManufacturingTool BMT:\s*(\w+.\w+.\w+-\w+\+\w+)'}",,5000,,5.1.0-1286+e381751,5.1.0-1286+e381751,,,,BMT


,HALL_SENSOR,POWER,@POWER_CYCLE,common.powerCycle,,,15000,,,,,,,


,BUTTON_L_TEST,RELAY_CONNECT,DMM_VIN1_SEL_SW,common.rpc_call,"{'func':'mixdevice.relay', 'args':['DMM_VIN1_SEL_SW']}",,5000,,--PASS--,--PASS--,,,,
,BUTTON_L_TEST,RELAY_CONNECT,@CYLINDER_TO_BUTTON,common.rpc_call,"{'func':'mixdevice.relay', 'args':['CYLINDER_TO_BUTTON']}",,5000,,--PASS--,--PASS--,,,,
,BUTTON_L_TEST,delay,delay1000ms,common.delay,1000,,5000,,--PASS--,--PASS--,,,,
,BUTTON_L_TEST,VOLT_MEASURE1,@MUX_SEL_BUTTON_RESET,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_TP58_33_BUTTON', 0.2]}",,5000,,-50,50,mV,,,
,BUTTON_L_TEST,RUN_BMT,@PRESS_S2_READ_GPIO,common.run_bmt_cmd,"{'cmd_key':'GET_BUTTON_L_GPIO_LOW', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Debug.GPIO.Status (\w+=\w+\s\w+=\w+)'}",,5000,,GPIONum=45 Level=Low,GPIONum=45 Level=Low,,,,
,BUTTON_L_TEST,RELAY_DISCONNECT,@RELEASE_CYLINDER_TO_BUTTON,common.rpc_call,"{'func':'mixdevice.relay', 'args':['CYLINDER_TO_BUTTON', 'DISCONNECT']}",,5000,,--PASS--,--PASS--,,,,
,BUTTON_L_TEST,delay,delay200ms,common.delay,200,,5000,,--PASS--,--PASS--,,,,
,BUTTON_L_TEST,RUN_BMT,@RELEASE_S2_READ_GPIO,common.run_bmt_cmd,"{'cmd_key':'GET_BUTTON_L_GPIO_HIGH', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Debug.GPIO.Status (\w+=\w+\s\w+=\w+)'}",,5000,,GPIONum=45 Level=High,GPIONum=45 Level=High,,,,




,HALL_SENSOR,delay,@delay3000ms1,common.delay,3000,,5000,,--PASS--,--PASS--,,,,

,TEARDOWN,reset,resetAll,common.rpc_call,"{'func':'mixdevice.reset', 'args':[]}",,5000,,,,,,,










