Disable,Group,SubTestName,SubSubTestName,Function,Input,Output,Timeout,Policy,LowerLimit,UpperLimit,Units,Condition,StopOnFail,Notes
,Fixture,Info,Station_ID,common.station_id,,,5000,,,,,,,
,Fixture,Info,Vendor_ID,common.vendor_id,,,5000,,OSENS,OSENS,,,,
,Fixture,Info,resetAll,common.rpc_call,"{'func':'mixdevice.reset', 'args':[]}",,5000,,,,,,,
,DUT_POWER_ON,POWER_ON,POWER_ON,common.powerOn,,,5000,,,,,,,

,DUTInfo,READ_INFO,READ_PCBA_SN,common.run_bmt_cmd,"{'cmd_key':'READ_PCBA_SN', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Board SerialNumber=(\w+)'}",[[read_sn]],,,,,,,,
,DUTInfo,READ_INFO,COMPARE_SN,common.compareStr,"[[scanned_sn]]#[[read_sn]]",,5000,,,,,,,
,DUTInfo,READ_INFO,READ_TEST_STATION_FLAG,common.run_bmt_cmd,"{'cmd_key':'READ_TEST_STATION_FLAG', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Status (\w+)Status=Pass'}",,,,,,,,,
,DUTInfo,READ_INFO,GET_FW_VISION,common.run_bmt_cmd,"{'cmd_key':'GET_FW_VISION', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'FirmwareVersion.Status Version=(\w+.\w+.\w+-\w+\+\w+)'}",,,,,,,,,
,DUTInfo,READ_INFO,GET_HW_REVISION,common.run_bmt_cmd,"{'cmd_key':'GET_HW_REVISION', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Status HWRevision=(\w+)'}",,,,,,,,,


,VOLT_TEST,BATTERY,TEMP_READ,common.run_bmt_cmd,"{'cmd_key':'BATTERY_TEMP_CHECK', 'cmd_args': [[[scanned_sn]]]}",,,,,,,,,

,BUD_5V_EN_L,POWER,POWER_CYCLE,common.powerCycle,,,10000,,,,,,,
,BUD_5V_EN_L,RELAY_CONNECT,DMM_VIN1_SEL_SW,common.rpc_call,"{'func':'mixdevice.relay', 'args':['DMM_VIN1_SEL_SW']}",,5000,,,,,,,

,BUD_5V_EN_L,RUN_BMT,SET_BUD_5V_EN_L_LOW,common.run_bmt_cmd,"{'cmd_key':'SET_BUD_5V_EN_L_LOW', 'cmd_args': [[[scanned_sn]]], 'expect_keyword':'GPIONum=40 Level=Low'}",,,,,,,,,
,BUD_5V_EN_L,delay,delay2000ms,common.delay,2000,,5000,,,,,,,
,BUD_5V_EN_L,VOLT_MEASURE,BUD_POGO,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_TPF505_BUD_POGO_SNS', 0.2]}",,5000,,5100,5300,mV,,,
