Disable,Group,SubTestName,SubSubTestName,Function,Input,Output,Timeout,Policy,LowerLimit,UpperLimit,Units,Condition,StopOnFail,Notes
,Fixture,Info,@Scan_PCBA_SN,common.get_scan_sn,[[scanned_sn]],,5000,,,,,,,
,Fixture,Info,Station_ID,common.station_id,,,5000,,,,,,,
,Fixture,Info,Vendor_ID,common.vendor_id,,,5000,,OSENS,OSENS,,,,
,MES,UOP,@Check_uop,common.check_uop,[[[scanned_sn]]],,5000,,,,,,Y,
,Fixture,Info,resetAll,common.rpc_call,"{'func':'mixdevice.reset', 'args':[]}",,5000,,--PASS--,--PASS--,,,,
,Fixture,RUN_BMT,@GET_BMT_VERSION,common.run_bmt_cmd,"{'cmd_key':'GET_VERSION', 'parse_pattern':'BoseManufacturingTool (\w+.\w+.\w+-\w+\+\w+)'}",,10000,,4.0.0-1225+ff003d5,4.0.0-1225+ff003d5,,,,

,DUT_POWER_ON,POWER_ON,@DUT_Power_ON,common.powerOn,,,5000,,--PASS--,--PASS--,,,,

,LID_H,RELAY_CONNECT,@Set the LID to HIGH,common.rpc_call,"{'func':'mixdevice.relay', 'args':['TPF235_LID_TO_1V8']}",,5000,,--PASS--,--PASS--,,,,
,LID_H,RUN_BMT,@READ_LID,common.run_bmt_cmd,"{'cmd_key':'READ_LID', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Level=(\w+)'}",,5000,,High,High,,,,
,LID_L,RELAY_CONNECT,@Set the LID to LOW,common.rpc_call,"{'func':'mixdevice.relay', 'args':['TPF235_LID_TO_GND']}",,5000,,--PASS--,--PASS--,,,,
,LID_L,RUN_BMT,@READ_LID,common.run_bmt_cmd,"{'cmd_key':'READ_LID', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Level=(\w+)'}",,5000,,Low,Low,,,,

,LED_CASE_WHITE_H,RELAY_CONNECT,DMM_VIN1_SEL_SW,common.rpc_call,"{'func':'mixdevice.relay', 'args':['DMM_VIN1_SEL_SW']}",,5000,,--PASS--,--PASS--,,,,
,LED_CASE_WHITE_H,RUN_BMT,@SET_LED_CASE_WHITE_ON,common.run_bmt_cmd,"{'cmd_key':'SET_LED_CASE_WHITE_ON', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Debug.GPIO.Status (\w+\=\w+ \w+\=\w+)'}",,5000,,GPIONum=25 Level=Low,GPIONum=25 Level=Low,,,,
,LED_CASE_WHITE_H,MUX_SEL_TPF228,@LED_CASE_WHITE_Voltage,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_TPF228_LED_CASE_WHITE', 0.2]}",,5000,,-50,50,mV,,,
,LED_CASE_WHITE_L,RUN_BMT,@SET_LED_CASE_WHITE_OFF,common.run_bmt_cmd,"{'cmd_key':'SET_LED_CASE_WHITE_OFF', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Debug.GPIO.Status (\w+\=\w+ \w+\=\w+)'}",,5000,,GPIONum=25 Level=High,GPIONum=25 Level=High,,,,
,LED_CASE_WHITE_L,MUX_SEL_TPF228,@LED_CASE_WHITE_Voltage,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_TPF228_LED_CASE_WHITE', 0.2]}",,5000,,1700,1900,mV,,,

,LED_CASE_AMBER_H,RUN_BMT,@SET_LED_CASE_AMBER_ON,common.run_bmt_cmd,"{'cmd_key':'SET_LED_CASE_AMBER_ON', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Debug.GPIO.Status (\w+\=\w+ \w+\=\w+)'}",,5000,,GPIONum=38 Level=Low,GPIONum=38 Level=Low,,,,
,LED_CASE_AMBER_H,MUX_SEL_TPF229,@LED_CASE_AMBER_Voltage,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_TPF229_LED_CASE_AMBER', 0.2]}",,5000,,-50,50,mV,,,
