Disable,Group,SubTestName,SubSubTestName,Function,Input,Output,Timeout,Policy,LowerLimit,UpperLimit,Units,Condition,StopOnFail,Notes
,Fixture,Info,@Scan_PCBA_SN,common.get_scan_sn,[[scanned_sn]],,5000,,,,,,,
,Fixture,Info,Station_ID,common.station_id,,,5000,,,,,,,
,Fixture,Info,Vendor_ID,common.vendor_id,,,5000,,OSENS,OSENS,,,,
,MES,UOP,@Check_uop,common.check_uop,[[[scanned_sn]]],,5000,,,,,,Y,
,Fixture,Info,resetAll,common.rpc_call,"{'func':'mixdevice.reset', 'args':[]}",,5000,,--PASS--,--PASS--,,,,
,Fixture,RUN_BMT,@GET_BMT_VERSION,common.run_bmt_cmd,"{'cmd_key':'GET_VERSION', 'parse_pattern':'BoseManufacturingTool (\w+.\w+.\w+-\w+\+\w+)'}",,10000,,4.0.0-1225+ff003d5,4.0.0-1225+ff003d5,,,,


,WIRELESS_CHARGE_INIT,WIRELESS_CHARGE,@WIRELESS_CHARGE,common.Wireless_Charger_Output,[[[scanned_sn]]],,200000,,--PASS--,--PASS--,,,,
,WIRELESS_GET_INFO,RUN_JSON_BMT,@Get_WIRELESS_INFO,common.exec_json_cmd,"{'file_name':'Get_Wireless_INFO.json', 'cmd_args': [[[scanned_sn]]]}",,5000,,--PASS--,--PASS--,,,,
,WLSS_RX_CHIP_ID,READ_JSON_BMT_RESULT,@WLSS_RX_CHIP_ID,common.get_json_result,"{'result_key_word':'StatusQualifier=(\w+)'}",,10000,,3269,3269,,,,
,WLSS_RX_STATUS,READ_JSON_BMT_RESULT,@WLSS_RX_STATUS,common.get_json_result,"{'result_key_word':'StatusQualifier=(\w+)'}",,10000,,3,3,,,,
,WLSS_RX_ADC_IOUT,CALCULATE,@IOUT,common.caculateWireless,"[[WLSS_IOUT_LSB]]#[[WLSS_IOUT_MSB]]",,15000,,0,10,mA,,,
,WLSS_RX_ADC_VOUT,CALCULATE,@VOUT,common.caculateWireless,"[[WLSS_VOUT_LSB]]#[[WLSS_VOUT_MSB]]",,15000,,4900,5200,mV,,,
,WIRELESS_CHARGE_INIT,@CHARGE_OUTPUT,0V,common.rpc_call,"{'func':'mixdevice.chargeEnable', 'args':[10, 10]}",,5000,,--PASS--,--PASS--,,,,
,WIRELESS_CHARGE_INIT,RELAY_DISCONNECT,@DISCONNECT_PSU_VCHG_TO_DUT,common.rpc_call,"{'func':'mixdevice.relay', 'args':['PSU_VCHG_TO_DUT', 'DISCONNECT']}",,5000,,--PASS--,--PASS--,,,,
,WIRELESS,delay,@delay3000ms,common.delay,3000,,15000,,--PASS--,--PASS--,,,,
,WLSS_BATTERY_CHARGING_CURRENT,MEASURE_CURRENT,@Wireless_On_Battery_Current,common.rpc_call,"{'func':'mixdevice.measureCurrentByOdin', 'args':['battery', '500ma']}",,,,-400,-300,mA,,,
,WLSS_VOUT,MUX_SEL_TPF807,@VOUT_W_IN2_Voltage,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_TPF807_VOUT_W_IN2', 0.2]}",,5000,,4900,5100,mV,,,
,TX_PAD_WORKING_VOLTAGE,CALCULATE,@WireLess_Charger_Voltage_tx,common.caculateVoltage,,,15000,,7000,8000,mV,,,
,TX_PAD_WORKING_CURRENT,CURRENT_MEASURE,@WireLess_Charger_Current_tx,common.measureVoltageDMM,"{'netName':'DMM_VIN2_SEL_SW_WIRELESS_CHARGE_CURR', 'ch':'ch0', 'count':5}",,15000,,380,550,mA,,,

,WRITE_STATION_FLAG,POWER,@POWER_CYCLE,common.powerCycle,,,10000,,--PASS--,--PASS--,,,,
,WRITE_STATION_FLAG,delay,@delay2000ms,common.delay,2000,,5000,,--PASS--,--PASS--,,,,
,WRITE_STATION_FLAG,BATTERY,@Battery_Temp_Check,common.temperatureRead,[[[scanned_sn]]],,25000,,20,30,C,,,
,WRITE_STATION_FLAG,GET,TEST_INFO,common.get_testResult,[[[result]]],{{TEST_RESULT}},5000,,,,,,,
