Disable,Group,SubTestName,SubSubTestName,Function,Input,Output,Timeout,Policy,LowerLimit,UpperLimit,Units,Condition,StopOnFail,Notes
,Fixture,Info,@SCAN_SN,common.get_scan_sn,[[scanned_sn]],,5000,,,,,,,
Y,Fixture,Info,@CHECK_UOP,common.check_uop,[[[scanned_sn]]],,5000,,--PASS--,--PASS--,,,,
,Fixture,reset,resetAll,common.rpc_call,"{'func':'mixdevice.reset', 'args':[]}",,5000,,--PASS--,--PASS--,,,,
,Fixture,RUN_BMT,@GET_BMT_VERSION,common.run_bmt_cmd,"{'cmd_key':'GET_VERSION', 'parse_pattern':'BoseManufacturingTool (\w+.\w+.\w+-\w+\+\w+)'}",,5000,,4.0.0-1225+ff003d5,4.0.0-1225+ff003d5,,,,
,FWDL,RELAY_CONNECT,PSU_VCHG_TO_DUT,common.rpc_call,"{'func':'mixdevice.relay', 'args':['PSU_VCHG_TO_DUT']}",,5000,,--PASS--,--PASS--,,,,
,FWDL,delay,delay1000ms_1,common.delay,1000,,5000,,--PASS--,--PASS--,,,,
,FWDL,CHARGE_OUTPUT,5V_100MA,common.rpc_call,"{'func':'mixdevice.chargeEnable', 'args':[5000,100]}",,5000,,--PASS--,--PASS--,,,,
,FWDL,delay,delay1000ms_2,common.delay,1000,,5000,,--PASS--,--PASS--,,,,
,FWDL,RELAY_CONNECT,SWD_SEL_SW,common.rpc_call,"{'func':'mixdevice.relay', 'args':['SWD_SEL_SW']}",,5000,,--PASS--,--PASS--,,,,
,FWDL,PROGRAM,@PROGRAM_STM32,common.program_firmware,"['STM32U375RG', 'D:/RestorePackage/0416/flash_image.bin']",,50000,,--PASS--,--PASS--,,,,
,FWDL,delay,delay3000ms,common.delay,3000,,5000,,--PASS--,--PASS--,,,,

,DUTInfo,writeSN,@writeSN,common.writeSN,[[scanned_sn]],,30000,E,--PASS--,--PASS--,,,,
,DUTInfo,delay,delay1000ms_1,common.delay,1000,,5000,R,--PASS--,--PASS--,,,,
,DUTInfo,POWER,POWER_CYCLE,common.powerCycle,,,10000,,--PASS--,--PASS--,,,,
,DUTInfo,RELAY_CONNECT,USB_SEL_SW,common.rpc_call,"{'func':'mixdevice.relay', 'args':['USB_SEL_SW']}",,5000,,--PASS--,--PASS--,,,,

,UART,RELAY_CONNECT,UART_SEL_SW,common.rpc_call,"{'func':'mixdevice.relay', 'args':['UART_SEL_SW']}",,5000,,--PASS--,--PASS--,,,,
,UART,delay,delay1000ms_3,common.delay,1000,,5000,,--PASS--,--PASS--,,,,
,UART,SEND_READ,@VR,common.uart_test,"{'cmd':'vr', 'expectKeyword':'SpitfireCoreServices'}",,15000,,SpitfireCoreServices//120.0.2+g49d6b6d@BoseCorp/master:package_id_unknown Unknown.ip-10-141-255-180.2025-04-12T07:22:49,SpitfireCoreServices//120.0.2+g49d6b6d@BoseCorp/master:package_id_unknown Unknown.ip-10-141-255-180.2025-04-12T07:22:49,,,,

,DUTInfo,CHECK,USB,common.checkUSB,,,30000,,--PASS--,--PASS--,,,,
,DUTInfo,RUN_BMT,@WRITE_HW_VERSION,common.run_bmt_cmd,"{'cmd_key':'WRITE_HW_VERSION', 'cmd_args': [[[scanned_sn]]]}",,5000,,--PASS--,--PASS--,,,,
,DUTInfo,RUN_BMT,@CC_TX_RX_TEST,common.run_bmt_cmd,"{'cmd_key':'CC_TX_RX_TEST', 'cmd_args': [[[scanned_sn]]]}",,5000,,--PASS--,--PASS--,,,,
,DUTInfo,RUN_BMT,@READ_PCBA_SN,common.run_bmt_cmd,"{'cmd_key':'READ_PCBA_SN', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Board SerialNumber=(\w+)'}",[[read_sn]],,5000,,,,,,
,DUTInfo,SN_COMPARE,@COMPARE_SN,common.compareStr,"[[scanned_sn]]#[[read_sn]]",,5000,,--PASS--,--PASS--,,,,
,DUTInfo,RUN_BMT,@GET_HW_REVISION,common.run_bmt_cmd,"{'cmd_key':'GET_HW_REVISION', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Status HWRevision=(\w+)'}",,5000,,AUB_C0,AUB_C0,,,,
,DUTInfo,RUN_BMT,@GET_FW_VISION,common.run_bmt_cmd,"{'cmd_key':'GET_FW_VISION', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'FirmwareVersion.Status Version=(\w+.\w+.\w+-\w+\+\w+)'}",,5000,,0.0.3-2+g37b2673,0.0.3-2+g37b2673,,,,
,DUTInfo,RUN_BMT,@CHARGER_I2C_TEST,common.run_bmt_cmd,"{'cmd_key':'CHARGER_I2C_TEST', 'cmd_args': [[[scanned_sn]]], 'Timeout':10000}",,5000,,--PASS--,--PASS--,,,,
,DUTInfo,RUN_BMT,@WRITE_TEST_STATION_FLAG,common.run_bmt_cmd,"{'cmd_key':'WRITE_TEST_STATION_FLAG', 'cmd_args': [[[scanned_sn]]]}",,5000,,--PASS--,--PASS--,,,,
,DUTInfo,RUN_BMT,@READ_TEST_STATION_FLAG,common.run_bmt_cmd,"{'cmd_key':'READ_TEST_STATION_FLAG', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':' Station1Status=(\w+)'}",,5000,,Pass,Pass,,,,
,DUTInfo,RUN_BMT,@POWER_OFF,common.run_bmt_cmd,"{'cmd_key':'POWER_OFF', 'cmd_args': [[[scanned_sn]]]}",,5000,,--PASS--,--PASS--,,,,
,DUTInfo,reset,resetAll,common.rpc_call,"{'func':'mixdevice.reset', 'args':[]}",,5000,,--PASS--,--PASS--,,,,
