Item,EC
Fixture@Info@ResetALL,10001
Fixture@Info@SN,10002
Fixture@Info@CoboreFWVersion,10003
Fixture@Info@Check_UOP,10004
Fixture@Info@Station_ID,10005
Fixture@Info@Slot_ID,10006
Fixture@Info@Vendor_ID,10007
Fixture@Info@Fixture_ID,10008
Sensore@HaLL_Check@HALL_Deafult,10009
Sensore@HaLL_Check@HALL_On,10010
Sensore@HaLL_Check@Hall_Off,10011
Key@Button_Check@Press,10012
Key@Button_Check@Relase,10013
LED@LED_Check@Right_Blue,10014
LED@LED_Check@Right_Green,10015
LED@LED_Check@Right_Red,10016
LED@LED_Check@Left_Blue,10017
LED@LED_Check@Left_Green,10018
LED@LED_Check@Left_Red,10019
ESD@Voltage_Check@DUT_TP5_LED_RHI_B,10020
ESD@Voltage_Check@DUT_TP6_LED_RHI_G,10021
ESD@Voltage_Check@DUT_TP7_LED_RHI_R,10022
ESD@Voltage_Check@DUT_TP8_LED_LHI_B,10023
ESD@Voltage_Check@DUT_TP9_LED_LHI_G,10024
ESD@Voltage_Check@DUT_TP10_LED_LHI_R,10025
ESD@Voltage_Check@TP11_POGO_5V_L,10026
ESD@Voltage_Check@DUT_TP12_HI_DATA_L,10027
ESD@Voltage_Check@DUT_TP13_POGO_5V_R,10028
ESD@Voltage_Check@DUT_TP14_HI_DATA_R,10029
ESD@Voltage_Check@DUT_TP23_VLED,10030
