Disable,Group,SubTestName,SubSubTestName,Function,Input,Output,Timeout,Policy,LowerLimit,UpperLimit,Units,Condition,StopOnFail,Notes
,Fixture,Info,@Scan_PCBA_SN,common.get_scan_sn,[[scanned_sn]],,5000,,,,,,,
,Fixture,Info,@Station_ID,common.station_id,,,5000,,,,,,,
,Fixture,RUN_BMT,@GET_BMT_VERSION,common.run_bmt_cmd,"{'cmd_key':'GET_VERSION', 'parse_pattern':'BoseManufacturingTool BMT:\s*(\w+.\w+.\w+-\w+\+\w+)'}",,5000,,5.1.0-1286+e381751,5.1.0-1286+e381751,,,,BMT
,Fixture,reset,resetAll,common.rpc_call,"{'func':'mixdevice.reset', 'args':[]}",,5000,,,,,,,
,POWER_ON,MEASURE,@NRST rising width,common.risingWidth,,,5000,,,,mS,,,
,POWER_ON,delay,@delay2000ms,common.delay,5000,,15000,,--PASS--,--PASS--,,,,
,POWER_ON,MEASURE_CURRENT,@CURRENT,common.rpc_call,"{'func':'mixdevice.measureCurrentByOdin', 'args':['charger', '500ma']}",,5000,,,,mA,,,
,VOLTAGE_TEST,RELAY_CONNECT,DMM_VIN1_SEL_SW,common.rpc_call,"{'func':'mixdevice.relay', 'args':['DMM_VIN1_SEL_SW']}",,5000,,--PASS--,--PASS--,,,,
,VOLTAGE_TEST,RELAY_CONNECT,@RELAY_CONNECT_USB_CC1_SEL_SW_56K_TO_VBUS,common.rpc_call,"{'func':'mixdevice.relay', 'args':['USB_CC1_SEL_SW_56K_TO_VBUS']}",,5000,,--PASS--,--PASS--,,,,
,VOLTAGE_TEST,MEASURE,@USB CC1 detect,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1', '7000mv', 'VOLT_MEAS_MUX_SEL_TP47_CC1']}",,5000,,200,500,mV,,,
,VOLTAGE_TEST,RELAY_DISCONNECT,@RELAY_CONNECT_USB_CC1_SEL_SW_56K_TO_VBUS,common.rpc_call,"{'func':'mixdevice.relay', 'args':['USB_CC1_SEL_SW_56K_TO_VBUS','DISCONNECT']}",,5000,,--PASS--,--PASS--,,,,
,VOLTAGE_TEST,RELAY_CONNECT,@RELAY_CONNECT_USB_CC2_SEL_SW_56K_TO_VBUS,common.rpc_call,"{'func':'mixdevice.relay', 'args':['USB_CC2_SEL_SW_56K_TO_VBUS']}",,5000,,--PASS--,--PASS--,,,,
,VOLTAGE_TEST,MEASURE,@USB CC2 detect,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1', '7000mv', 'VOLT_MEAS_MUX_SEL_TP48_CC2']}",,5000,,200,500,mV,,,
,VOLTAGE_TEST,RELAY_CONNECTDIS,@RELAY_CONNECT_USB_CC2_SEL_SW_56K_TO_VBUS,common.rpc_call,"{'func':'mixdevice.relay', 'args':['USB_CC2_SEL_SW_56K_TO_VBUS','DISCONNECT']}",,5000,,--PASS--,--PASS--,,,,
,TEARDOWN,reset,resetAll,common.rpc_call,"{'func':'mixdevice.reset', 'args':[]}",,5000,,,,,,,










