Disable,Group,SubTestName,SubSubTestName,Function,Input,Output,Timeout,Policy,LowerLimit,UpperLimit,Units,Condition,StopOnFail,Notes
,Fixture,Info,SN,common.get_scan_sn,[[scanned_sn]],,5000,,,,,,,
,Fixture,Info,Station_ID,common.station_id,,,5000,,,,,,,
,Fixture,Info,Vendor_ID,common.vendor_id,,,5000,,OSENS,OSENS,,,,
,Fixture,Info,resetAll,common.rpc_call,"{'func':'mixdevice.reset', 'args':[]}",,5000,,,,,,,
,Fixture,RUN_BMT,@GET_VERSION,common.run_bmt_cmd,"{'cmd_key':'GET_VERSION', 'parse_pattern':'BoseManufacturingTool (\w+.\w+.\w+-\w+\+\w+)'}",,10000,,,,,,,
,WIRELESS,POWER_OFF,POWER_OFF,common.powerOff,,,10000,,,,,,,
,WIRELESS,WIRELESS_CHARGE,WIRELESS_CHARGE,common.Wireless_Charger_Output,,,200000,,,,,,,
,WIRELESS,RUN_BMT,@WLSS_RX_CHIP_ID_1,common.run_bmt_cmd,"{'cmd_key':'WLSS_RX_CHIP_ID_1', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'StatusQualifier=(\w+)'}",,10000,,,,,,,
,WIRELESS,RUN_BMT,@WLSS_RX_CHIP_ID_2,common.run_bmt_cmd,"{'cmd_key':'WLSS_RX_CHIP_ID_2', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'StatusQualifier=(\w+)'}",,10000,,,,,,,
,WIRELESS,RUN_BMT,@WLSS_RX_STATUS,common.run_bmt_cmd,"{'cmd_key':'WLSS_RX_STATUS', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'StatusQualifier=(\w+)'}",,10000,,,,,,,
,WIRELESS,RUN_BMT,@WLSS_RX_ADC_IOUT_1,common.run_bmt_cmd,"{'cmd_key':'WLSS_RX_ADC_IOUT_1', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'StatusQualifier=(\w+)'}",[[I_LSB]],10000,,,,,,,
,WIRELESS,RUN_BMT,@WLSS_RX_ADC_IOUT_2,common.run_bmt_cmd,"{'cmd_key':'WLSS_RX_ADC_IOUT_2', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'StatusQualifier=(\w+)'}",[[I_MSB]],10000,,,,,,,
,WIRELESS,RUN_BMT,@WLSS_RX_ADC_VOUT_1,common.run_bmt_cmd,"{'cmd_key':'WLSS_RX_ADC_VOUT_1', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'StatusQualifier=(\w+)'}",[[V_LSB]],10000,,,,,,,
,WIRELESS,RUN_BMT,@WLSS_RX_ADC_VOUT_2,common.run_bmt_cmd,"{'cmd_key':'WLSS_RX_ADC_VOUT_2', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'StatusQualifier=(\w+)'}",[[V_MSB]],10000,,,,,,,
,WIRELESS,CALCULATE,@IOUT,common.caculateWireless,"[[[I_LSB]], [[I_MSB]]]",,15000,,,,,,,
,WIRELESS,CALCULATE,@VOUT,common.caculateWireless,"[[[V_LSB]], [[V_MSB]]]",,15000,,,,,,,
,WIRELESS,CHARGE_OUTPUT,0V,common.rpc_call,"{'func':'mixdevice.chargeEnable', 'args':[10, 10]}",,5000,,,,,,,
,WIRELESS,RELAY_DISCONNECT,PSU_VCHG_TO_DUT,common.rpc_call,"{'func':'mixdevice.relay', 'args':['PSU_VCHG_TO_DUT', 'DISCONNECT']}",,5000,,,,,,,
,WIRELESS,delay,delay10000ms,common.delay,10000,,15000,,,,,,,
,WIRELESS,MEASURE_CURRENT,@BATTERY,common.rpc_call,"{'func':'mixdevice.measureCurrentByOdin', 'args':['battery', '500ma']}",,,,,,,,,
,WIRELESS,VOLT_MEASURE,@TPF807_VOUT_W_IN2,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_TPF807_VOUT_W_IN2', 0.2]}",,5000,,,,mV,,,
,WIRELESS,VOLT_MEASURE,WIRELESS_CHARGE_VOLTAGE,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch0','7000mv','DMM_VIN2_SEL_SW_WIRELESS_CHARGE_VOLT', 0.2]}",[[VOLTAGE_WIRELESS]],5000,,,,mV,,,
,WIRELESS,CALCULATE,@WIRELESS_CHARGE_VOLTAGE,common.caculateVoltage,[[VOLTAGE_WIRELESS]],,15000,,,,mV,,,
,WIRELESS,CURRENT_MEASURE,@WIRELESS_CHARGE_CURRENT,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch0','7000mv','DMM_VIN2_SEL_SW_WIRELESS_CHARGE_CURR', 0.2]}",,5000,,,,mA,,,

,WRITE_STATION_FLAG,POWER,POWER_CYCLE,common.powerCycle,,,10000,,,,,,,
,WRITE_STATION_FLAG,RUN_BMT,@WRITE_TEST_STATION_FLAG,common.run_bmt_cmd,"{'cmd_key':'WRITE_TEST_STATION_FLAG', 'cmd_args': [[[scanned_sn]]], 'expect_keyword':'Station2Status=Pass'}",,,,,,,,,
,READ_STATION_FLAG,RUN_BMT,@READ_TEST_STATION_FLAG,common.run_bmt_cmd,"{'cmd_key':'READ_TEST_STATION_FLAG', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Station2Status=(\w+)'}",,,,,,,,,
,SHIPMODE,RUN_BMT,@ENTER_SHIP_MODE,common.enterShipMode,[[scanned_sn]],,,,,,,,,
,SHIPMODE,CHARGE_OUTPUT,10MV,common.rpc_call,"{'func':'mixdevice.chargeEnable', 'args':[10, 10]}",,5000,,,,,,,
,SHIPMODE,RELAY_DISCONNECT,PSU_VCHG_TO_DUT,common.rpc_call,"{'func':'mixdevice.relay', 'args':['PSU_VCHG_TO_DUT', 'DISCONNECT']}",,5000,,,,,,,
,SHIPMODE,RELAY_DISCONNECT,USB_SEL_SW,common.rpc_call,"{'func':'mixdevice.relay', 'args':['USB_SEL_SW', 'DISCONNECT']}",,5000,,,,,,,
,SHIPMODE,delay,delay3000ms_1,common.delay,3000,,5000,,,,,,,
,SHIPMODE,MEASURE_CURRENT,@BATTERY,common.rpc_call,"{'func':'mixdevice.measureCurrentByOdin', 'args':['battery', '1ua']}",,,,,,,,,




