Disable,Group,SubTestName,SubSubTestName,Function,Input,Output,Timeout,Policy,LowerLimit,UpperLimit,Units,Condition,StopOnFail,Notes
,Fixture,Info,@SCAN_SN,common.get_scan_sn,[[scanned_sn]],,5000,,,,,,,
,Fixture,Info,Station_ID,common.station_id,,,5000,,,,,,,
,Fixture,Info,Vendor_ID,common.vendor_id,,,5000,,OSENS,OSENS,,,,
,Fixture,Info,resetAll,common.rpc_call,"{'func':'mixdevice.reset', 'args':[]}",,5000,,,,,,,
,Fixture,RUN_BMT,@GET_BMT_VERSION,common.run_bmt_cmd,"{'cmd_key':'GET_VERSION', 'parse_pattern':'BoseManufacturingTool (\w+.\w+.\w+-\w+\+\w+)'}",,10000,,,,,,,
,DUT_POWER_ON,POWER_ON,@DUT_Power_ON,common.powerOn,,,5000,,,,,,,
,DUTInfo,READ_INFO,@READ_PCBA_SN,common.run_bmt_cmd,"{'cmd_key':'READ_PCBA_SN', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Board SerialNumber=(\w+)'}",[[read_sn]],,,,,,,,
,DUTInfo,READ_INFO,@CHECK_DUT_SN,common.compareStr,"[[scanned_sn]]#[[read_sn]]",,5000,,,,,,,
,DUTInfo,READ_INFO,@Read_Station_Flag,common.run_bmt_cmd,"{'cmd_key':'READ_TEST_STATION_FLAG', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Station1Status=(\w+)'}",,,,,,,,,
,DUTInfo,READ_INFO,@Firmware Version Check,common.run_bmt_cmd,"{'cmd_key':'GET_FW_VISION', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'FirmwareVersion.Status Version=(\w+.\w+.\w+-\w+\+\w+)'}",,,,,,,,,
,DUTInfo,READ_INFO,@Read_HW_Version,common.run_bmt_cmd,"{'cmd_key':'GET_HW_REVISION', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Status HWRevision=(\w+)'}",,,,,,,,,

,WIRELESS,POWER_OFF,POWER_OFF,common.powerOff,,,10000,,,,,,,
,WIRELESS,WIRELESS_CHARGE,WIRELESS_CHARGE,common.Wireless_Charger_Output,,,200000,,,,,,,
,WIRELESS,delay,delay5000ms,common.delay,500000,,1500000,,,,,,,
,WIRELESS,READ_INFO,@READ_PCBA_SN,common.run_bmt_cmd,"{'cmd_key':'READ_PCBA_SN', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Board SerialNumber=(\w+)'}",[[read_sn]],,,,,,,,
,WIRELESS,RUN_BMT,@WLSS_RX_CHIP_ID_1,common.run_bmt_cmd,"{'cmd_key':'WLSS_RX_CHIP_ID_1', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'StatusQualifier=(\w+)'}",,10000,,,,,,,
,WIRELESS,RUN_BMT,@WLSS_RX_CHIP_ID_2,common.run_bmt_cmd,"{'cmd_key':'WLSS_RX_CHIP_ID_2', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'StatusQualifier=(\w+)'}",,10000,,,,,,,
,WIRELESS,RUN_BMT,@WLSS_RX_STATUS,common.run_bmt_cmd,"{'cmd_key':'WLSS_RX_STATUS', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'StatusQualifier=(\w+)'}",,10000,,,,,,,
,WIRELESS,RUN_BMT,@WLSS_RX_ADC_IOUT_1,common.run_bmt_cmd,"{'cmd_key':'WLSS_RX_ADC_IOUT_1', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'StatusQualifier=(\w+)'}",[[I_LSB]],10000,,,,,,,
,WIRELESS,RUN_BMT,@WLSS_RX_ADC_IOUT_2,common.run_bmt_cmd,"{'cmd_key':'WLSS_RX_ADC_IOUT_2', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'StatusQualifier=(\w+)'}",[[I_MSB]],10000,,,,,,,
,WIRELESS,RUN_BMT,@WLSS_RX_ADC_VOUT_1,common.run_bmt_cmd,"{'cmd_key':'WLSS_RX_ADC_VOUT_1', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'StatusQualifier=(\w+)'}",[[V_LSB]],10000,,,,,,,
,WIRELESS,RUN_BMT,@WLSS_RX_ADC_VOUT_2,common.run_bmt_cmd,"{'cmd_key':'WLSS_RX_ADC_VOUT_2', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'StatusQualifier=(\w+)'}",[[V_MSB]],10000,,,,,,,
,WIRELESS,CALCULATE,@IOUT,common.caculateWireless,"[[[I_LSB]], [[I_MSB]]]",,15000,,,,,,,
,WIRELESS,CALCULATE,@VOUT,common.caculateWireless,"[[[V_LSB]], [[V_MSB]]]",,15000,,,,,,,
,WIRELESS,CHARGE_OUTPUT,5V,common.rpc_call,"{'func':'mixdevice.chargeEnable', 'args':[10, 10]}",,5000,,,,,,,
,WIRELESS,RELAY_DISCONNECT,PSU_VCHG_TO_DUT,common.rpc_call,"{'func':'mixdevice.relay', 'args':['PSU_VCHG_TO_DUT', 'DISCONNECT']}",,5000,,,,,,,
,WIRELESS,delay,delay5000ms,common.delay,5000,,15000,,,,,,,
,WIRELESS,MEASURE_CURRENT,@Wireless_On_Battery_Current,common.rpc_call,"{'func':'mixdevice.measureCurrentByOdin', 'args':['battery', '500ma']}",,,,-400,-300,mA,,,
,WIRELESS,MUX_SEL_TPF807,@VOUT_W_IN2_Voltage,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_TPF807_VOUT_W_IN2', 0.2]}",,5000,,4900,5050,mV,,,
,WIRELESS,VOLT_MEASURE,WIRELESS_CHARGE_VOLTAGE,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch0','7000mv','DMM_VIN2_SEL_SW_WIRELESS_CHARGE_VOLT', 0.2]}",[[VOLTAGE_WIRELESS]],5000,,,,mV,,,
,WIRELESS,CALCULATE,@WireLess_Charger_Voltage,common.caculateVoltage,[[VOLTAGE_WIRELESS]],,15000,,7000,8000,mV,,,
,WIRELESS,CURRENT_MEASURE,@WireLess_Charger_Current,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch0','7000mv','DMM_VIN2_SEL_SW_WIRELESS_CHARGE_CURR', 0.2]}",,5000,,450,650,mA,,,
,DUT_POWER_OFF,POWER_OFF,POWER_OFF,common.powerOff,,,5000,,,,,,,




