Disable,Group,SubTestName,SubSubTestName,Function,Input,Output,Timeout,Policy,LowerLimit,UpperLimit,Units,Condition,StopOnFail,Notes
,Fixture,Info,Station_ID,common.station_id,,,5000,,,,,,,
,Fixture,Info,Vendor_ID,common.vendor_id,,,5000,,OSENS,OSENS,,,,
,Fixture,Info,Vendor_ID_2,common.vendor_id,,,5000,,,,,,,

,Fixture,Info,resetAll,common.rpc_call,"{'func':'mixdevice.reset', 'args':[]}",,5000,,,,,,,

,DUT_POWER_ON,powerOn,powerOn,common.powerOnCharge,500,,5000,,,,,,,

,BUTTON_TEST,RELAY,CONNECT_CCS_P_TO_DUT_MUX_SEL_DUT_QCC_SYS_CTRL,common.rpc_call,"{'func':'mixdevice.relay', 'args':['CCS_P_TO_DUT_MUX_SEL_DUT_QCC_SYS_CTRL']}",,5000,,,,,,,
,BUTTON_TEST,RELAY,CONNECT_EXT_DUT_GND_TO_SYS_GND,common.rpc_call,"{'func':'mixdevice.relay', 'args':['EXT_DUT_GND_TO_SYS_GND']}",,5000,,,,,,,
,BUTTON_TEST,RELAY,CONNECT_VOLT_MEAS_DIV,common.rpc_call,"{'func':'mixdevice.relay', 'args':['VOLT_MEAS_DIV']}",,5000,,,,,,,
,BUTTON_TEST,RELAY,CONNECT_BUTTON_TO_SENSOR,common.rpc_call,"{'func':'mixdevice.relay', 'args':['BUTTON_TO_SENSOR']}",,5000,,,,,,,
,BUTTON_TEST,delay,delay2000ms_1,common.delay,2000,,5000,,,,,,,
,BUTTON_TEST,MEASURE_ADC,VOLTAGE_1,common.rpc_call,"{'func':'mixdevice.voltage_measure', 'args':[]}",,5000,,-5,5,mV,,,
,BUTTON_TEST,RELAY,DISCONNECT_BUTTON_TO_SENSOR,common.rpc_call,"{'func':'mixdevice.relay', 'args':['BUTTON_TO_SENSOR', 'DISCONNECT']}",,5000,,,,,,,
,BUTTON_TEST,delay,delay2000ms_2,common.delay,2000,,5000,,,,,,,
,BUTTON_TEST,MEASURE_ADC,VOLTAGE_2,common.rpc_call,"{'func':'mixdevice.voltage_measure', 'args':[]}",,5000,,-5,5,mV,,,
,BUTTON_TEST,RELAY,DISCONNECT_CCS_P_TO_DUT_MUX_SEL_DUT_QCC_SYS_CTRL,common.rpc_call,"{'func':'mixdevice.relay', 'args':['CCS_P_TO_DUT_MUX_SEL_DUT_QCC_SYS_CTRL', 'DISCONNECT']}",,5000,,,,,,,
,BUTTON_TEST,RELAY,DISCONNECT_EXT_DUT_GND_TO_SYS_GND,common.rpc_call,"{'func':'mixdevice.relay', 'args':['EXT_DUT_GND_TO_SYS_GND', 'DISCONNECT']}",,5000,,,,,,,
,BUTTON_TEST,RELAY,DISCONNECT_VOLT_MEAS_DIV,common.rpc_call,"{'func':'mixdevice.relay', 'args':['VOLT_MEAS_DIV', 'DISCONNECT']}",,5000,,,,,,,


