Disable,Group,SubTestName,SubSubTestName,Function,Input,Output,Timeout,Policy,LowerLimit,UpperLimit,Units,Condition,StopOnFail,Notes
,Fixture,Info,Station_ID,common.station_id,,,5000,,,,,,,
,Fixture,Info,Vendor_ID,common.vendor_id,,,5000,,OSENS,OSENS,,,,
,Fixture,Info,Vendor_ID_2,common.vendor_id,,,5000,,,,,,,
,Fixture,Info,resetAll,common.rpc_call,"{'func':'mixdevice.reset', 'args':[]}",,5000,,,,,,,

,OPEN_TEST,RES,CCSOUTPUT,common.rpc_call,"{'func':'mixdevice.ccs_svs_setup', 'args':[0.05, 1000]}",,5000,,,,,,,
,OPEN_TEST,delay,delay500ms,common.delay,500,,5000,,,,,,,
,OPEN_TEST,RES,LED_CASE_WHITE_TO_LED_CASE_AMBER,common.rpc_call,"{'func':'mixdevice.open_short_test', 'args':['LED_CASE_WHITE_TO_LED_CASE_AMBER']}",,5000,,100000,999999999,ohm,,,
,OPEN_TEST,RES,LED_BUD_AMBER_TO_LED_BUD_WHITE,common.rpc_call,"{'func':'mixdevice.open_short_test', 'args':['LED_BUD_AMBER_TO_LED_BUD_WHITE']}",,5000,,100000,999999999,ohm,,,
,OPEN_TEST,RES,LED_BUD_WHITE_TO_LED_BUD_BLUE,common.rpc_call,"{'func':'mixdevice.open_short_test', 'args':['LED_BUD_WHITE_TO_LED_BUD_BLUE']}",,5000,,100000,999999999,ohm,,,
,OPEN_TEST,RES,BUD_R_DETECT_TO_BUD_L_DETECT,common.rpc_call,"{'func':'mixdevice.open_short_test', 'args':['BUD_R_DETECT_TO_BUD_L_DETECT']}",,5000,,100000,999999999,ohm,,,
,OPEN_TEST,RES,BUD_L_DETECT_TO_LID,common.rpc_call,"{'func':'mixdevice.open_short_test', 'args':['BUD_L_DETECT_TO_LID']}",,5000,,100000,999999999,ohm,,,
,OPEN_TEST,RES,VDD_LED_TO_LED_CASE_WHITE,common.rpc_call,"{'func':'mixdevice.open_short_test', 'args':['VDD_LED_TO_LED_CASE_WHITE']}",,5000,,100000,999999999,ohm,,,
,OPEN_TEST,RES,VDD_LED_TO_BUD_R_DETECT,common.rpc_call,"{'func':'mixdevice.open_short_test', 'args':['VDD_LED_TO_BUD_R_DETECT']}",,5000,,100000,999999999,ohm,,,
,OPEN_TEST,RES,VDD_1V8_TO_DUT_GND,common.rpc_call,"{'func':'mixdevice.open_short_test', 'args':['VDD_1V8_TO_DUT_GND']}",,5000,,10000,999999999,ohm,,,
,OPEN_TEST,resetAll,resetAll,common.rpc_call,"{'func':'mixdevice.reset', 'args':[]}",,5000,,,,,,,

