Disable,Group,SubTestName,SubSubTestName,Function,Input,Output,Timeout,Policy,LowerLimit,UpperLimit,Units,Condition,StopOnFail,Notes
,Fixture,Info,@Scan_PCBA_SN,common.get_scan_sn,[[scanned_sn]],,5000,,,,,,,
,Fixture,Info,Station_ID,common.station_id,,,5000,,,,,,,
,Fixture,Info,Vendor_ID,common.vendor_id,,,5000,,OSENS,OSENS,,,,
,MES,UOP,@Check_uop,common.check_uop,[[[scanned_sn]]],,5000,,,,,,Y,MES
,Fixture,Info,resetAll,common.rpc_call,"{'func':'mixdevice.reset', 'args':[]}",,5000,,--PASS--,--PASS--,,,,
,Fixture,RUN_BMT,@GET_BMT_VERSION,common.run_bmt_cmd,"{'cmd_key':'GET_VERSION', 'parse_pattern':'BoseManufacturingTool (\w+.\w+.\w+-\w+\+\w+)'}",,10000,,4.0.0-1225+ff003d5,4.0.0-1225+ff003d5,,,,BMT


,DUT_POWER_ON,POWER_ON,@DUT_Power_ON,common.powerOn,,,5000,,--PASS--,--PASS--,,,,PSU Module
,DUT_POWER_ON,delay,delay3000ms,common.delay,3000,,5000,,,,,,,
,DUT_POWER_ON,MEASURE_CURRENT,@Power on current,common.rpc_call,"{'func':'mixdevice.measureCurrentByOdin', 'args':['charger']}",,5000,,1,8,mA,,,PSU Module

,SPIKE_TEST,RUN_BMT,@STOP_PLC,common.run_bmt_cmd,"{'cmd_key':'STOP_PLC', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'CaseDebug.ChargerInterconnectBudControl.Result (\w+=\w+)\s*'}",,5000,,Id=0,Id=0,,,,BMT
,SPIKE_TEST,RUN_BMT,@TURN_ON_5V,common.run_bmt_cmd,"{'cmd_key':'TURN_ON_5V', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'BUD_5V_EN (\w+)'}",,5000,,enabled,enabled,,,,BMT
,SPIKE_TEST,RUN_BMT,@RESET_DETECTION,common.run_bmt_cmd,"{'cmd_key':'RESET_DETECTION', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Debug.TAP.Status Response=(\w+)'}",,5000,,Success,Success,,,,BMT
,SPIKE_TEST,RUN_BMT,@GET_DETECTION00,common.run_bmt_cmd,"{'cmd_key':'GET_DETECTION', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Debug.TAP.Status Response=(\w+=\w+\, \w+=\w+)'}",,5000,,L=0 R=0,L=0 R=0,,,,BMT
,SPIKE_TEST,RELAY_CONNECT,@RELAY_CONNECT_SIMULATE_L_CUFF_INSERTION,common.rpc_call,"{'func':'mixdevice.relay', 'args':['SIMULATE_L_CUFF_INSERTION']}",,5000,,--PASS--,--PASS--,,,,
,SPIKE_TEST,RUN_BMT,@GET_DETECTION10,common.run_bmt_cmd,"{'cmd_key':'GET_DETECTION', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Debug.TAP.Status Response=(\w+=\w+\, \w+=\w+)'}",,5000,,L=1 R=0,L=1 R=0,,,,BMT
,SPIKE_TEST,RELAY_CONNECT,@RELAY_CONNECT_SIMULATE_R_CUFF_INSERTION,common.rpc_call,"{'func':'mixdevice.relay', 'args':['SIMULATE_R_CUFF_INSERTION']}",,5000,,--PASS--,--PASS--,,,,
,SPIKE_TEST,RUN_BMT,@GET_DETECTION11,common.run_bmt_cmd,"{'cmd_key':'GET_DETECTION', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Debug.TAP.Status Response=(\w+=\w+\, \w+=\w+)'}",,5000,,L=1 R=1,L=1 R=1,,,,BMT
,SPIKE_TEST,RUN_BMT,@ResetCase,common.run_bmt_cmd,"{'cmd_key':'ResetCase', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Control\.(\w+\.\w+)\s*'}",,5000,,Reset.Result,Reset.Result,,,,BMT

,DUT_POWER_OFF,POWER_OFF,@POWER_OFF,common.powerOff,,,5000,,--PASS--,--PASS--,,,,
