Disable,Group,SubTestName,SubSubTestName,Function,Input,Output,Timeout,Policy,LowerLimit,UpperLimit,Units,Condition,StopOnFail,Notes
,Fixture,Info,@Scan_PCBA_SN,common.get_scan_sn,[[scanned_sn]],,5000,,,,,,,
,Fixture,Info,@Station_ID,common.station_id,,,5000,,,,,,,
,MES,UOP,@Check_uop,common.check_uop,[[[scanned_sn]]],,5000,,,,,,Y,MES
,MES,GET_INFO,GET_FLASH_SIZE,common.check_fw_config,[[[scanned_sn]]],[[FLASH_SIZE]],5000,,,,,,Y,
,Fixture,reset,resetAll,common.rpc_call,"{'func':'mixdevice.reset', 'args':[]}",,5000,,,,,,,
,Fixture,RUN_BMT,@GET_BMT_VERSION,common.run_bmt_cmd,"{'cmd_key':'GET_VERSION', 'parse_pattern':'BoseManufacturingTool (\w+.\w+.\w+-\w+\+\w+)'}",,20000,,4.0.0-1225+ff003d5,4.0.0-1225+ff003d5,,,,BMT

,OPEN_SHORT,SHORT_CHECK,@USBC_UART_RX_IN,common.rpc_call,"{'func':'mixdevice.open_short_test', 'args':['USBC_UART_RX_IN']}",,5000,,0,5,ohm,,,
,OPEN_SHORT,SHORT_CHECK,@USBC_UART_TX_IN,common.rpc_call,"{'func':'mixdevice.open_short_test', 'args':['USBC_UART_TX_IN']}",,5000,,0,5,ohm,,,
,OPEN_SHORT,SHORT_CHECK,@USBC_CON_GND,common.rpc_call,"{'func':'mixdevice.open_short_test', 'args':['USBC_CON_GND']}",,5000,,0,5,ohm,,,
,OPEN_SHORT,SHORT_CHECK,@USBC_VBUS_IN,common.rpc_call,"{'func':'mixdevice.open_short_test', 'args':['USBC_VBUS_IN']}",,5000,,0,5,ohm,,,
,OPEN_SHORT,SHORT_CHECK,@USBC_CC1,common.rpc_call,"{'func':'mixdevice.open_short_test', 'args':['USBC_CC1']}",,5000,,0,5,ohm,,,
,OPEN_SHORT,SHORT_CHECK,@USBC_CC2,common.rpc_call,"{'func':'mixdevice.open_short_test', 'args':['USBC_CC2']}",,5000,,0,5,ohm,,
,OPEN_SHORT,SHORT_CHECK,@USBC_DP_IN,common.rpc_call,"{'func':'mixdevice.open_short_test', 'args':['USBC_DP_IN']}",,5000,,0,5,ohm,,,
,OPEN_SHORT,SHORT_CHECK,@USBC_DM_IN,common.rpc_call,"{'func':'mixdevice.open_short_test', 'args':['USBC_DM_IN']}",,5000,,0,5,ohm,,,
,OPEN_SHORT,SHORT_CHECK,@USBC_SBU,common.rpc_call,"{'func':'mixdevice.open_short_test', 'args':['USBC_SBU']}",,5000,,0,5,ohm,,,
,OPEN_SHORT,SHORT_CHECK,@USBC_SWDIO_IN,common.rpc_call,"{'func':'mixdevice.open_short_test', 'args':['USBC_SWDIO_IN']}",,5000,,0,5,ohm,,,
,OPEN_SHORT,SHORT_CHECK,@USBC_SWDCLK_IN,common.rpc_call,"{'func':'mixdevice.open_short_test', 'args':['USBC_SWDCLK_IN']}",,5000,,0,5,ohm,,,
,OPEN_SHORT,reset,resetAll,common.rpc_call,"{'func':'mixdevice.reset', 'args':[]}",,5000,,--PASS--,--PASS--,,,,

,FWDL,RELAY_CONNECT,@PSU_VCHG_TO_DUT,common.rpc_call,"{'func':'mixdevice.relay', 'args':['PSU_VCHG_TO_DUT']}",,5000,,--PASS--,--PASS--,,,,
,FWDL,delay,@delay100ms_1,common.delay,100,,5000,,--PASS--,--PASS--,,,,
,FWDL,CHARGE_OUTPUT,@5V_100MA,common.rpc_call,"{'func':'mixdevice.chargeEnable', 'args':[5000,100]}",,5000,,--PASS--,--PASS--,,,,PSU
,FWDL,delay,@delay1000ms_2,common.delay,1000,,5000,,--PASS--,--PASS--,,,,
,FWDL,RELAY_CONNECT,@SWD_SEL_SW,common.rpc_call,"{'func':'mixdevice.relay', 'args':['SWD_SEL_SW']}",,5000,,--PASS--,--PASS--,,,,
,FWDL,ERASE,@ERASE_STM32,common.erase_firmware_STLinkTool,[[FLASH_SIZE]],,50000,,--PASS--,--PASS--,,,,STLink
,FWDL,PROGRAM,@PROGRAM_STM32,common.program_firmware_STLinkTool,[[FLASH_SIZE]],,50000,,--PASS--,--PASS--,,,,STLink
